198,Southeast Raleigh Elementary,1436,Rock Quarry Rd,Raleigh,NC,35.7456584,-78.5841378,Elementary Schools
199,Capital Boulevard High Site,1820,Capital Blvd,Raleigh,NC,35.8724453,-78.57937489999999,Future Sites
200,Buckhorn Creek Elementary,5651,Honeycutt Rd,Holly Springs,NC,35.6198356,-78.8493225,Elementary Schools
201,M14 Middle Site,2255,Herbert Akins Rd,Fuquay-Varina,NC,35.6212413,-78.8006231,Future Sites
202,Willow Spring High Site,1704,Old Honeycutt Road,Fuquay-Varina,NC,35.5829099,-78.75758859999999,Future Sites
203,South Lakes Elementary Site,0,Old Honeycutt Road,Fuquay-Varina,NC,35.5829099,-78.75758859999999,Future Sites
204,Apex Friendship Middle,7701,Humie Olive Rd,Apex,NC,35.7022291,-78.9086404,Middle School
205,Apex Friendship Elementary Site,7701,Humie Olive Rd,Apex,NC,35.7022291,-78.9086404,Future Sites
206,E42 ES Site,1099,E Young St,Rolesville,NC,35.9131115,-78.45029559999999,Future Sites
207,E44 ES Site,4551,Hilltop Needmore Rd,Fuquay Varina,NC,35.6299879,-78.753614,Future Sites
208,Poole Road ES Site,6120,Poole Rd,Raleigh,NC,35.7583288,-78.5480401,Future Sites
209,M17 Middle Site,6120,Poole Rd,Raleigh,NC,35.7583288,-78.5480401,Future Sites
210,E49 ES Site, , , ,NC,35.7595731,-79.01929969999999,Future Sites
211,SCORE Academy: Garner, , , ,NC,35.7595731,-79.01929969999999,Special / Optional Schools
212,SCORE Academy: River Oaks, , , ,NC,35.7595731,-79.01929969999999,Special / Optional Schools
213,Infinity Program, , , ,NC,35.7595731,-79.01929969999999,Special / Optional Schools
