OBJECTID,NAME,PARK_TYPE,FILE_NUMBER,PARCEL_COUNT,DEVELOPED,MAP_ACRES,ADDRESS,ZIP_CODE,ALTERNATE_ADDRESS,LWCF,PARKID,INITIAL_AQUISITION_DATE,Shape__Area,Shape__Length
173,Mount Hope Cemetery,Special,SP-19,1,Developed,28.56704092,1120 Fayetteville St,27601,NA,No,162,1927-01-04T00:00:00.000Z,1244375.176,5140.243148
174,Leesville,Community,C-13,3,Developed,57.63010263,8000 Hilburn Dr,27613,NA,No,163,1990-10-02T00:00:00.000Z,2510366.284,7622.277773
175,City Plaza,Special,SP-38,1,Developed,0,421 Fayetteville St,27601,NA,No,164,,48568.22961,1150.001465
176,Leonard Tract,Community,C-24,1,Undeveloped,83.59731007,12028 Falls of Neuse Rd,27587,NA,No,165,2008-03-20T00:00:00.000Z,3641498.846,16060.81183
177,Avent Ferry Rd,Open Space,OS-82,1,Undeveloped,2.33997451,4200 Avent Ferry Rd,27606,NA,No,166,1981-12-01T00:00:00.000Z,101928.8427,1718.991844
178,Hodges Mill Creek Property,Community,C-25,1,Undeveloped,49.15633662,5150 Watkins Rd,27591,NA,No,167,2010-02-26T00:00:00.000Z,2141244.239,7707.183185
179,Civic Center Parking Lot,Special,SP-13,2,Developed,2.50207543,10 W South St,27601,NA,No,168,1975-06-27T00:00:00.000Z,108990.02,1457.999899
180,Lake Johnson,Metro,METRO-3,19,Developed,472.35,4601 Avent Ferry Rd,27606,NA,Yes,169,1952-01-01T00:00:00.000Z,20575389.08,33472.4425
181,Sunnybrook Road Property,Neighborhood,N-41,1,Undeveloped,20.56533318,141 Sunnybrook Rd,27610,NA,No,170,2006-02-24T00:00:00.000Z,895805.7341,7164.819708
182,River Bend,Neighborhood,N-46,1,Undeveloped,26.46198271,6580 Perry Creek Rd,27616,NA,No,171,2012-08-23T00:00:00.000Z,1152679.411,4824.82555
183,Five Points Center for Active Adults,Special,SP-48,1,Developed,4.86136899,2000 Noble Road,27608,NA,No,172,,211748.1732,2417.00273
184,Forest Ridge,Metro,METRO-11,1,Developed,586.8133225,11405 Falls of Neuse Rd,27587,NA,No,173,,25671342.1,72748.00298
185,Abbotts Creek,Community,C-26,3,Developed,29.11746341,9950 Durant Rd,27614,NA,No,174,,1268262.586,6639.477332
186,Maybrook Forest,Neighborhood,N-47,2,Undeveloped,38.21734069,2776 Maybrook Crossing Dr,27610,NA,No,175,2015-02-19T00:00:00.000Z,1664751.326,7616.46028
187,Dorothea Dix Park,Metro,METRO-10,1,Developed,307.9833726,900 S Boylan Ave,27603,NA,No,176,2012-12-28T00:00:00.000Z,13415535.86,24030.75831
188,Chester & Oberlin,Open Space,OS-61,0,Undeveloped,0.49561874,Right of Way,27608,NA,No,177,,21589.07581,659.9614441
189,Glenwood & Wake,Open Space,OS-65,0,Undeveloped,0.47116751,Right of Way,27608,NA,No,178,,20523.97693,974.5423654
190,3602 Woodlea Dr,Open Space,OS-83,2,Undeveloped,1.39676474,3602 Woodlea Dr,27604,3604 Woodlea Dr,No,179,,60842.87732,1044.83285
191,401 Chavis Way,Special,SP-9,1,Undeveloped,1.21207238,401 Chavis Way,27601,531 E Cabarrus St,No,180,,52793.2251,1114.240065
